Cidade;Sexo;Idade;Estado Civil;Filhos;Escolaridade;Tempo de atuação;Vínculo de trabalho;Carga horária semanal;Turnos de trabalho semanal;Número de alunos por turma;Pluriemprego;Possui Sintomas Osteomusculares?
Lebon Regis;Feminino;Entre 31 e 40 anos;Com companheiro;Sim;Especialização;Até 10 anos;ACT;Até 20 horas;2 turnos;Até 30 alunos;Sim;Sim
Lebon Regis;Feminino;Entre 31 e 40 anos;Com companheiro;Sim;Graduação;Até 10 anos;ACT;Até 20 horas;1 turno;Até 30 alunos;Sim;Sim
Lebon Regis;Feminino;Acima de 40 anos;Com companheiro;Sim;Graduação;Até 10 anos;ACT;Até 20 horas;2 turnos;Até 30 alunos;Sim;Sim
Lebon Regis;Masculino;Acima de 40 anos;Com companheiro;Sim;Especialização;Acima de 10 anos;ACT;De 21 a 40 horas;2 turnos;Até 30 alunos;Sim;Não
Lebon Regis;Feminino;Até 30 anos;Com companheiro;Não;Especialização;Até 10 anos;ACT;De 21 a 40 horas;2 turnos;Até 30 alunos;Não;Sim
Lebon Regis;Feminino;Acima de 40 anos;Sem companheiro;Sim;Especialização;Acima de 10 anos;Efetivo;De 21 a 40 horas;3 turnos;Até 30 alunos;Sim;Sim
Lebon Regis;Feminino;Acima de 40 anos;Com companheiro;Sim;Especialização;Acima de 10 anos;Efetivo;De 21 a 40 horas;2 turnos;Até 30 alunos;Sim;Sim
Lebon Regis;Feminino;Entre 31 a 40 anos;Com companheiro;Sim;Especialização;Acima de 10 anos;Efetivo;Acima de 40 horas;3 turnos;Até 30 alunos;Sim;Não
Lebon Regis;Masculino;Até 30 anos;Com companheiro;Não;Especialização;Até 10 anos;ACT;Acima de 40 horas;3 turnos;Até 30 alunos;Não;Sim
Lebon Regis;Feminino;Acima de 40 anos;Com companheiro;Sim;Especialização;Acima de 10 anos;Efetivo;De 21 a 40 horas;2 turnos;Até 30 alunos;Não;Sim
Lebon Regis;Feminino;Acima de 40 anos;Sem companheiro;Sim;Especialização;Acima de 10 anos;Efetivo;De 21 a 40 horas;2 turnos;Até 30 alunos;Não;Não
Lebon Regis;Feminino;Acima de 40 anos;Sem companheiro;Sim;Graduação;Acima de 10 anos;Efetivo;De 21 a 40 horas;3 turnos;Até 30 alunos;Sim;Sim
Lebon Regis;Feminino;Acima de 40 anos;Sem companheiro;Sim;Graduação;Acima de 10 anos;Efetivo;De 21 a 40 horas;3 turnos;Até 30 alunos;Sim;Sim
Lebon Regis;Feminino;Acima de 40 anos;Sem companheiro;Sim;Mestrado/Doutorado;Acima de 10 anos;Efetivo;Acima de 40 horas;3 turnos;Até 30 alunos;Sim;Sim
Lebon Regis;Feminino;Acima de 40 anos;Sem companheiro;Sim;Graduação;Acima de 10 anos;ACT;Acima de 40 horas;3 turnos;Acima de 30 alunos;Sim;Não
Lebon Regis;Feminino;Entre 31 a 40 anos;Com companheiro;Sim;Especialização;Até 10 anos;ACT;Acima de 40 horas;3 turnos;Até 30 alunos;Sim;Sim
Lebon Regis;Feminino;Até 30 anos;Sem companheiro;Sim;Especialização;Até 10 anos;ACT;De 21 a 40 horas;3 turnos;Até 30 alunos;Sim;Sim
Lebon Regis;Feminino;Entre 31 a 40 anos;Com companheiro;Sim;Especialização;Acima de 10 anos;Efetivo;De 21 a 40 horas;2 turnos;Até 30 alunos;Sim;Sim
Lebon Regis;Feminino;Acima de 40 anos;Com companheiro;Sim;Especialização;Acima de 10 anos;Efetivo;De 21 a 40 horas;2 turnos;Até 30 alunos;Não;Sim
Lebon Regis;Feminino;Acima de 40 anos;Sem companheiro;Sim;Especialização;Acima de 10 anos;ACT;De 21 a 40 horas;2 turnos;Até 30 alunos;Não;Sim
Lebon Regis;Feminino;Acima de 40 anos;Sem companheiro;Sim;Graduação;Até 10 anos;ACT;De 21 a 40 horas;2 turnos;Até 30 alunos;Sim;Sim
Lebon Regis;Feminino;Acima de 40 anos;Sem companheiro;Sim;Graduação;Acima de 10 anos;Efetivo;De 21 a 40 horas;3 turnos;Até 30 alunos;Sim;Sim
Lebon Regis;Feminino;Acima de 40 anos;Sem companheiro;Sim;Graduação;Acima de 10 anos;Efetivo;De 21 a 40 horas;3 turnos;Até 30 alunos;Sim;Sim
Lebon Regis;Feminino;Entre 31 a 40 anos;Com companheiro;Sim;Especialização;Acima de 10 anos;ACT;Acima de 40 horas;3 turnos;Até 30 alunos;Sim;Não
Lebon Regis;Feminino;Acima de 40 anos;Sem companheiro;Sim;Especialização;Acima de 10 anos;ACT;Até 20 horas;3 turnos;Até 30 alunos;Não;Sim
Lebon Regis;Feminino;Acima de 40 anos;Com companheiro;Sim;Graduação;Acima de 10 anos;ACT;Até 20 horas;1 turno;Até 30 alunos;Não;Não
Lebon Regis;Feminino;Acima de 40 anos;Com companheiro;Sim;Especialização;Até 10 anos;ACT;Até 20 horas;1 turno;Até 30 alunos;Não;Sim
Lebon Regis;Feminino;Até 30 anos;Sem companheiro;Não;Graduação;Até 10 anos;ACT;De 21 a 40 horas;2 turnos;Até 30 alunos;Sim;Sim
Lebon Regis;Masculino;Até 30 anos;Com companheiro;Sim;Mestrado/Doutorado;Até 10 anos;Efetivo;De 21 a 40 horas;3 turnos;Até 30 alunos;Sim;Sim
Lebon Regis;Masculino;Até 30 anos;Com companheiro;Sim;Especialização;Até 10 anos;Efetivo;De 21 a 40 horas;3 turnos;Até 30 alunos;Não;Sim
Lebon Regis;Feminino;Entre 31 a 40 anos;Com companheiro;Sim;Graduação;Até 10 anos;ACT;De 21 a 40 horas;2 turnos;Até 30 alunos;Sim;Sim
